starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 08 12:00:32 2017	1486555232	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	7	1007	1014	1007
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1013
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	5	1010	1014	1010
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	1	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	5	1010	1014	1010
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	5	1009	1014	1009
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1013
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1013
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1013	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	2	1012	1014	1012
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1013
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1013	1014	1013
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	6	1008	1014	1008
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1013
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1013	1014	1013
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1014	1013
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1014	1013
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1014	1013
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1014	1013
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1014	1013
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	6	1008	1014	1008
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1013	1014	1013
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	2	1012	1014	1012
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	6	1008	1014	1008
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1013	1014	1013
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	1	1013	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1014	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:33 2017	1486555233	6	1009	1014	1009
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1013
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1014	1010
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1014	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1014	1014
Wed Feb 08 12:00:32 2017	1486555232	0	1014	1014	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:34 2017	1486555234	1	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:32 2017	1486555232	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	4	1010	1015	1010
Wed Feb 08 12:00:33 2017	1486555233	2	1012	1015	1012
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	6	1009	1015	1009
Wed Feb 08 12:00:36 2017	1486555236	0	1014	1015	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1015	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1015	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1015	1013
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:30 2017	1486555230	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:29 2017	1486555229	0	1015	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	6	1009	1015	1009
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:33 2017	1486555233	2	1012	1015	1012
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:35 2017	1486555235	0	1015	1015	1014
Wed Feb 08 12:00:32 2017	1486555232	0	1015	1015	1014
Wed Feb 08 12:00:36 2017	1486555236	0	1015	1015	1014
Wed Feb 08 12:00:34 2017	1486555234	0	1015	1015	1015
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	2	1012	1015	1012
Wed Feb 08 12:00:33 2017	1486555233	1	1014	1015	1014
Wed Feb 08 12:00:33 2017	1486555233	0	1014	1015	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1015	1015	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1015	1013
Wed Feb 08 12:00:35 2017	1486555235	0	1015	1015	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1014	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1015
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:26 2017	1486555226	0	1015	1015	1015
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1015
Wed Feb 08 12:00:30 2017	1486555230	0	1015	1015	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1015	1015	1015
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1015	1014
Wed Feb 08 12:00:35 2017	1486555235	0	1015	1015	1015
Wed Feb 08 12:00:34 2017	1486555234	0	1014	1015	1014
Wed Feb 08 12:00:31 2017	1486555231	0	1015	1015	1015
Wed Feb 08 12:00:26 2017	1486555226	0	1014	1015	1014
Wed Feb 08 12:00:29 2017	1486555229	0	1015	1015	1015
Wed Feb 08 12:00:35 2017	1486555235	0	1015	1015	1014
Wed Feb 08 12:00:35 2017	1486555235	1	1014	1015	1013
